smiles,u0
C(#CC#N)C#N,-261.802956
C#CCCC#C,-232.030352
C#CCCC#N,-248.137789
C(CC#N)C#N,-264.243028
C#CC#CC=O,-266.777425
C(=O)C#CC#N,-282.871678
C(=O)C#CC=O,-303.940271
N=COCC#C,-285.242094
N=COCC#N,-301.345683
C#CCCC=O,-269.20692
C(CC#N)C=O,-285.313674
C#CCNC=O,-285.276634
C(C#N)NC=O,-301.382062
C#CCOC=O,-305.145002
C(C#N)OC=O,-321.247305
N=COCC=O,-322.42132
C(CC=O)C=O,-306.384286
C(C=O)NC=O,-322.45625
C(C=O)OC=O,-342.324182
CC#CC#CC,-232.0639
CC#CCC#C,-232.036378
CC#CCC#N,-248.143861
CC#CCC=O,-269.218553
CN=CNC=O,-302.567313
CN=COC=O,-322.442708
CCC#CC#C,-232.050342
CCC#CC#N,-248.151318
C#CC#CCO,-267.963366
C(C#CC#N)O,-284.062954
CCC#CC=O,-269.216495
C(C#CC=O)O,-305.129953
CCC#CCC,-234.484521
CCC#CCO,-270.39928
C(C#CCO)O,-306.313706
CCN=COC,-287.683128
CC#CCCO,-270.405973
CCCC#CC,-234.48564
CC#CCOC,-270.392759
CCOC=NC,-287.689262
CCCCC#C,-234.474613
CCCCC#N,-250.583643
CCNCC#N,-266.616319
CCOCC#C,-270.386138
CCOCC#N,-286.492223
COCCC#C,-270.387395
COCCC#N,-286.495416
C#CCCCO,-270.393902
C(CC#N)CO,-286.502445
CCCCC=O,-271.652242
CCCNC=O,-287.724713
CCCOC=O,-307.596472
CCOCC=O,-307.567279
COCCC=O,-307.563525
C(CC=O)CO,-307.571937
C(CO)NC=O,-323.647099
OCCOC=N,-323.61489
C(COC=O)O,-343.517848
CCCCCC,-236.917873
CCCCCO,-272.837907
CCCCOC,-272.83072
CCCOCC,-272.836211
CCOCCO,-308.759185
COCCCO,-308.749822
COCCOC,-308.741915
C(CCO)CO,-308.757991
C#CC1CCC1,-233.25376
C#CC1CCO1,-269.170508
C#CC1COC1,-269.170061
C1CC(C1)C#N,-249.362379
N#CC1CCN1,-265.398572
N#CC1CCO1,-285.275928
C1C(CO1)C#N,-285.276468
C1CC(C1)C=O,-270.431243
O=CC1CCO1,-306.349558
C1C(CO1)C=O,-306.347185
C1CN(C1)C=O,-286.498779
CN=C1CCO1,-286.484121
CCC1CCC1,-235.696227
CCC1CCO1,-271.620156
CCC1COC1,-271.614305
COC1CCC1,-271.612772
COC1COC1,-307.528446
C1CC(C1)CO,-271.616401
OCC1CCO1,-307.541973
C1C(CO1)CO,-307.534482
C#CCC1CC1,-233.249538
C#CCC1CO1,-269.170665
C#CCN1CC1,-249.281074
C1CC1CC#N,-249.358446
N#CCC1CN1,-265.396194
N#CCC1CO1,-285.2779
C1CN1CC#N,-265.386781
N=COC1CC1,-286.46722
C1CC1CC=O,-270.427802
O=CCC1CN1,-286.466852
O=CCC1CO1,-306.349032
C1CN1CC=O,-286.459793
C1CC1NC=O,-286.498633
C1CC1OC=O,-306.370119
CC#CC1CC1,-233.262752
CC#CC1CN1,-249.301818
CC#CC1CO1,-269.180682
CCCC1CC1,-235.693825
CCCC1CO1,-271.616723
CCCN1CC1,-251.727632
CCOC1CC1,-271.611192
COCC1CC1,-271.606364
COCC1CN1,-287.645651
COCC1CO1,-307.526911
C1CC1CCO,-271.61389
OCCC1CO1,-307.536544
C1CN1CCO,-287.651399
CC1CC1C#C,-233.255379
CC1CC1C#N,-249.363949
CC1NC1C#C,-249.294409
CC1NC1C#N,-265.401151
CC1OC1C#C,-269.176979
CC1OC1C#N,-285.281493
CN1CC1C#C,-249.285024
CN1CC1C#N,-265.391486
OC1CC1C#C,-269.177232
OC1CC1C#N,-285.284456
CC1CC1C=O,-270.434394
CC1CN1C=O,-286.48657
CC1NC1C=O,-286.474509
CC1OC1C=O,-306.353871
CN1CC1C=O,-286.46347
OC1CC1C=O,-306.355655
CC1CC1CO,-271.614051
CC1NC1CO,-287.660591
CC1OC1CO,-307.54321
CCC1CC1C,-235.694798
CCC1CC1O,-271.617434
CCC1CN1C,-251.726162
CCC1OC1C,-271.622821
CCN1CC1C,-251.729571
CN1CC1CO,-287.644079
COC1CC1C,-271.608843
COC1CC1O,-307.529289
OCC1CC1O,-307.536915
CC(=O)C1CC1,-270.446608
CC(=O)C1CN1,-286.486509
CC(=O)C1CO1,-306.361448
CC(=O)N1CC1,-286.492357
C1CC1C(=O)N,-286.517424
NC(=O)C1CN1,-302.557878
NC(=O)C1CO1,-322.435505
C1CN1C(=O)N,-302.558699
CC(C)C1CC1,-235.695309
CC(C)C1CO1,-271.61643
CC(C)N1CC1,-251.731545
CC(O)C1CC1,-271.619912
CC(O)C1CN1,-287.661454
CC(O)C1CO1,-307.545457
C1CC2(C1)CC2,-234.472577
C1CC12CCO2,-270.394284
C1CC12COC2,-270.389803
C1C2(N1)COC2,-286.43116
C1CC2(C1)CO2,-270.399529
C1C2(CO1)CO2,-306.313924
C1C2CC1C=C2,-233.260156
C1C2OC1C=C2,-269.175627
C1C2CC1CC2,-234.491176
C1C2CC1OC2,-270.407057
C1C2CCC1O2,-270.411205
CC1C2CC1C2,-234.447743
CC1C2CC1O2,-270.359564
OC1C2CC1C2,-270.375081
OC1C2CC1O2,-306.286325
C1COCC=C1,-270.435807
C1CCC=CC1,-234.520624
C1CN=COC1,-286.504546
C1CCCCC1,-235.729507
C1CCOCC1,-271.646263
C1COCCO1,-307.560718
C1COCOC1,-307.568767
C1CC2CCC12,-234.470922
C1CC2OCC12,-270.393737
C1OC2COC12,-306.313133
CC1C2CCC12,-234.469383
CC1C2COC12,-270.384937
OC1C2CCC12,-270.394458
OC1C2COC12,-306.308471
C1C2CC=CC12,-233.293627
C1C2OC=NC12,-285.279992
C1C=CC2NC12,-249.332005
C1C=CC2OC12,-269.215705
C1C2CCCC12,-234.503085
C1C2CCOC12,-270.417842
C1C2COCC12,-270.422403
C1C2OCOC12,-306.33485
C1CC2OC2C1,-270.430832
C1OCC2NC12,-286.460642
C1OCC2OC12,-306.344083
N=C1OC2CC12,-285.255563
O=C1CC2CC12,-269.221561
O=C1CC2CN12,-285.267165
O=C1CC2NC12,-285.253877
O=C1CC2OC12,-305.134491
O=C1CN2CC12,-285.25588
O=C1NC2CC12,-285.279236
O=C1OC2CC12,-305.159206
CC1CC2CC12,-234.470813
CC1CC2OC12,-270.394309
CC1OC2CC12,-270.389386
OC1CC2CC12,-270.396464
OC1CC2NC12,-286.438448
OC1CC2OC12,-306.320451
OC1CN2CC12,-286.432515
C1C2C3CC2C13,-233.217482
C1C2C3CN2C13,-249.24868
C1C2C3OC2C13,-269.12958
N1C2C3NC2C13,-265.283843
N1C2C3OC2C13,-285.160699
O1C2C3OC2C13,-305.036659
C1CC1C2CC2,-234.469389
C1CC1C1CO1,-270.392715
C1CC1N2CC2,-250.500016
C1NC1C1CN1,-266.553159
C1NC1C1CO1,-286.432042
C1OC1C1CO1,-306.31359
C1C2C1C1CC21,-233.219124
C1C2C1C1NC21,-249.25941
C1C2C1C1OC21,-269.144656
C1C2C1N1CC21,-249.257629
N1C2C1C1NC21,-265.289023
N1C2C1C1OC21,-285.174014
O1C2C1C1OC21,-305.057353
C1C2C3C1CN23,-249.280474
C1C2C3CC1C23,-233.24225
C1C2C3CC1N23,-249.292101
C1C2C3CN1C23,-249.269471
C1C2C3OC1C23,-269.154939
C12C3C1C1C2C31,-231.975652
C12C3C1N1C2C31,-248.018573
c1ccnnc1,-264.226909
c1cnnnc1,-280.24835
c1nncnn1,-296.285473
c1ncnnn1,-296.296482
c1cnnnn1,-296.265627
Cc1ccn[nH]1,-265.44066
Cc1ccno1,-285.293918
Cc1cnn[nH]1,-281.476832
Cc1cnno1,-301.335636
Cc1c[nH]nc1,-265.437885
Cc1c[nH]nn1,-281.476938
Cc1cnoc1,-285.288405
Cc1conn1,-301.332569
Cc1[nH]ncn1,-281.505078
Cc1ncno1,-301.359287
Cc1cc[nH]n1,-265.440996
Cc1nc[nH]n1,-281.504745
Cc1cn[nH]n1,-281.482952
Cc1n[nH]nn1,-297.52358
Cc1ccon1,-285.292217
Cc1ncon1,-301.357553
Cc1cnon1,-301.316399
Cc1nnon1,-317.361117
Cn1cccn1,-265.433051
Cn1ccnn1,-281.469893
Cn1cncn1,-281.495234
Cn1cnnc1,-281.482892
Cn1cnnn1,-297.510804
Cn1nccn1,-281.476967
Cn1ncnn1,-297.516418
Cn1nnnn1,-313.537245
N=C1NC=NO1,-317.396153
N=C1NN=NN1,-313.554802
N=C1OC=NO1,-337.265273
N=C1ON=NO1,-353.269456
c1cn[nH]c1N,-281.48553
c1cnoc1N,-301.343578
c1c([nH]nn1)N,-297.520999
c1c(onn1)N,-317.386479
c1c(cn[nH]1)N,-281.480583
c1c(nn[nH]1)N,-297.523583
c1c(con1)N,-301.330754
c1c(nno1)N,-317.377404
c1nc([nH]n1)N,-297.554699
c1nc(on1)N,-317.41389
c1c[nH]nc1N,-281.489179
c1[nH]nc(n1)N,-297.555801
c1c(n[nH]n1)N,-297.530335
c1(n[nH]nn1)N,-313.573888
c1conc1N,-301.341304
c1nc(no1)N,-317.409527
c1c(non1)N,-317.364547
c1(nnon1)N,-333.411326
c1[nH]c(=O)[nH]n1,-317.447668
c1[nH]c(=O)on1,-337.302324
c1(=O)[nH]nn[nH]1,-333.464063
c1(=O)[nH]nno1,-353.321142
c1noc(=O)o1,-357.171724
c1(=O)onno1,-373.17391
c1cn[nH]c1O,-301.36359
c1c(cn[nH]1)O,-301.357437
c1c(nn[nH]1)O,-317.402836
c1nc([nH]n1)O,-317.434422
c1c[nH]nc1O,-301.369263
c1[nH]nc(n1)O,-317.433049
c1c(n[nH]n1)O,-317.408548
c1(n[nH]nn1)O,-333.449362
c1conc1O,-321.219665
c1nc(no1)O,-337.28389
c1(nnon1)O,-353.283458
CC#CC(=NO)C,-324.519277
CC(=NO)CC#C,-324.50612
CC(=NO)CC#N,-340.613712
CC(=NO)CC=O,-361.684892
CC(=NO)CCO,-362.871515
CCCC(=NO)C,-326.951186
CC(=NO)COC,-362.862736
CC(=NO)C(=NO)C,-416.988831
CC(=NO)C(=O)N,-377.773452
CC(C)C(=NO)C,-326.951067
CC(O)C(C)=NO,-362.875317
CC1CC(C1)=NO,-325.72997
CN1CC(=NO)C1,-341.759398
ON=C1CC(O)C1,-361.653332
C#CC(=NO)C#C,-322.057728
CCC(=NO)C#C,-324.505365
C#CC(=NO)CO,-360.421732
CCC(=NO)CC,-326.949535
CCC(=NO)CO,-362.87271
CC1CCC1=NO,-325.729906
CC1NCC1=NO,-341.767606
CC1OCC1=NO,-361.648305
ON=C1CCC1O,-361.65225
C1C=CCC1=NO,-324.550139
C1CC(=NO)C=C1,-324.555069
C1C(=NO)C=CN1,-340.601771
C1CCC(=NO)C1,-325.758431
C1COCC1=NO,-361.673369
CC(=NO)C1CC1,-325.72807
CC(=NO)C1CN1,-341.769746
CC(=NO)C1CO1,-361.650084
ON=C1CC2CC12,-324.502429
ON=C1CC2NC12,-340.536374
ON=C1CC2OC12,-360.418556
ON=C1CN2CC12,-340.537496
C#CC(F)(F)F,-414.351653
C(#N)C(F)(F)F,-430.448052
C(=O)C(F)(F)F,-451.528971
C(C(F)(F)F)N,-432.85289
C(C(F)(F)F)O,-452.728039
CCC(F)(F)F,-416.814878
Cc1cc([nH]c1)C,-288.690999
Cc1cc(oc1)C,-308.562031
Cc1cc(c[nH]1)N,-304.734226
Cc1cc(co1)N,-324.605613
Cc1cc(c[nH]1)O,-324.612179
Cc1cc(co1)O,-344.482088
Cc1cc([nH]c1)N,-304.73536
Cc1cc([nH]c1)O,-324.614194
Cc1c[nH]c(n1)O,-340.686134
Cc1cc(oc1)N,-324.608363
Cc1coc(n1)N,-340.678945
Cc1coc(n1)O,-360.553317
Cc1c[nH]c(n1)C,-304.75578
Cc1coc(n1)C,-324.627681
Cc1nc(co1)N,-340.674744
Cc1[nH]cc(n1)O,-340.683837
Cc1nc(co1)O,-360.554015
c1c(c[nH]c1N)N,-320.778636
c1c(coc1N)N,-340.652252
c1c(c[nH]c1N)O,-340.65658
c1c(coc1N)O,-360.528914
c1c(c[nH]c1O)N,-340.657508
c1c(nc([nH]1)O)N,-356.732791
c1c(nc(o1)O)N,-376.600944
c1c(nc(o1)N)N,-356.726146
c1c(nc([nH]1)N)O,-356.732185
c1c(nc(o1)N)O,-376.605641
c1c(c[nH]c1O)O,-360.535142
c1c(nc([nH]1)O)O,-376.613178
Cc1ccc([nH]1)C,-288.692943
Cc1ccc(o1)C,-308.565933
