smiles,g298
C(=N)NC(=O)N,-318.672134
C(=O)NC(=O)N,-338.573022
NC(=O)OC=N,-338.562187
CC(C)CC#C,-234.506975
CC(C)CC#N,-250.615918
CC(O)CC#C,-270.431817
CC(O)CC#N,-286.539045
CN(C)CC#N,-266.639636
CC(C)CC=O,-271.685015
CC(C)NC=O,-287.760264
CC(C)OC=O,-307.634011
CC(O)CC=O,-307.609331
CN(C)CC=O,-287.712476
CC(=O)CCO,-307.618405
CCCC(=O)C,-271.699054
CCCC(=O)N,-287.769373
CCNC(=O)C,-287.767999
CCNC(=O)N,-303.827496
CCOC(=O)C,-307.647075
CCOC(=O)N,-323.710041
C[NH2+]CC([O-])=O,-323.684532
CC(=O)COC,-307.604498
COCC(=O)N,-323.673408
C(CO)C(=O)N,-323.69021
[NH3+]CCC([O-])=O,-323.614532
CC(C)CCO,-272.869568
CC(O)CCO,-308.796363
CCCC(C)C,-236.949789
CCCC(C)O,-272.876391
CCOC(C)C,-272.871875
CC(C)COC,-272.864643
COCC(C)O,-308.790567
CC(=O)C(=O)C,-306.43831
CC(=O)C(=N)N,-302.611309
CC(=O)C(=O)N,-322.513285
NC(=[NH2+])C([O-])=O,-338.559249
C(=O)(C(=O)N)N,-338.589499
CC(C)C(=O)C,-271.697004
CC(C)C(=O)N,-287.770224
CC([NH3+])C([O-])=O,-323.695493
CC(O)C(C)=O,-307.625022
CC(O)C(N)=O,-323.69684
CC(=O)N(C)C,-287.755519
CN(C)C(=O)N,-303.816841
CC(C)C(C)C,-236.94792
CC(C)C(C)O,-272.875156
CC(O)C(C)O,-308.804403
CC1(CCC1)C,-235.728837
CC1(CCO1)C,-271.656931
CC1(COC1)C,-271.649191
CC1(CCC1)O,-271.657345
CC1(COC1)O,-307.574452
CC1(C)CC1O,-271.652008
CC1(O)CC1O,-307.575926
CC1CC1(C)C,-235.729399
CC1CC1(C)O,-271.654105
CC1OC1(C)C,-271.660915
CC1(CN1C)C,-251.763141
CC1CC(=N)O1,-286.527464
CC1CC(=O)C1,-270.476747
CC1CC(=O)N1,-286.549288
CC1CC(=O)O1,-306.432231
CN1CC(=O)C1,-286.505845
C1C(CC1=O)O,-306.399081
CC1CC(C)C1,-235.730474
CC1CC(C)O1,-271.658548
CC1CC(O)C1,-271.65458
CN1CC(C1)O,-287.686678
OC1CC(O)C1,-307.578204
CC12CC(C1)C2,-234.483864
CC12CC(C1)O2,-270.398537
CC12CN(C1)C2,-250.507275
OC12CC(C1)C2,-270.410876
OC12CN(C1)C2,-286.436586
C#CC(=O)C#C,-266.792861
C#CC(=O)C#N,-282.890406
C(#N)C(=O)C#N,-298.982096
C#CC(=O)C=O,-303.964386
C(=O)C(=O)C#N,-320.059734
C(=O)C(=O)C=O,-341.128555
CC(C#C)C#C,-232.056008
CC(C#C)C#N,-248.162616
CC(C#N)C#N,-264.265543
NC(C#C)C#N,-264.201717
C(#N)C(C#N)N,-280.303301
C#CC(C#C)O,-267.97414
OC(C#C)C#N,-284.078408
C(#N)C(C#N)O,-300.178386
CC(C=O)C#C,-269.238596
CC(C=O)C#N,-285.344071
OC(C=O)C#C,-305.160099
OC(C=O)C#N,-321.263248
CC(C=O)C=O,-306.414827
CN(C=N)C=O,-302.60969
CN(C=O)C=O,-322.507813
C(=O)C(C=O)O,-342.33778
CN=C(C#N)N,-281.51108
CN=C(C=O)N,-302.594563
CCC(=O)C#C,-269.247773
CCC(=O)C#N,-285.34803
CNC(=N)C#N,-281.515408
CNC(=O)C#C,-285.313335
COC(=O)C#C,-305.186165
COC(=O)C#N,-321.285034
C#CC(=O)CO,-305.160728
C(C(=O)C#N)O,-321.260329
CCC(=O)C=O,-306.424157
CNC(=N)C=O,-302.589229
CNC(=O)C=O,-322.485128
COC(=O)C=O,-342.359811
C(C(=O)C=O)O,-342.328622
CCC(=O)CC,-271.699649
CCC(=O)CO,-307.612431
CCC(=O)NC,-287.764875
CCC(=O)OC,-307.642398
CNC(=O)CO,-323.67712
CNC(=O)NC,-303.819322
CNC(=O)OC,-323.701214
COC(=O)CN,-323.684119
COC(=O)CO,-343.562703
C(C(=O)CO)O,-343.524104
CC(=NC)OC,-287.729866
CC(CO)C#C,-270.426967
CC(CO)C#N,-286.535239
CCC(C)C#C,-234.505226
CCC(C)C#N,-250.614218
CCC(N)C#N,-266.657544
CCC(O)C#C,-270.428268
CCC(O)C#N,-286.534653
CNC(C)C#N,-266.646318
COC(C)C#C,-270.415376
COC(C)C#N,-286.525708
NC(CO)C#N,-302.575574
NCC(N)C#N,-282.697592
NCC(O)C#N,-302.575827
OCC(O)C#C,-306.351017
OCC(O)C#N,-322.455292
CC(CO)C=O,-307.606203
CCC(C)C=O,-271.683985
CCC(O)C=O,-307.612724
CCN(C)C=O,-287.75175
COC(C)C=O,-307.598185
OCC(O)C=O,-343.533909
CC(CO)CO,-308.790858
CCC(C)CC,-236.948351
CCC(C)CO,-272.870013
CCC(C)OC,-272.866669
CCC(CC)O,-272.876509
CCC(O)CO,-308.799183
COC(C)CO,-308.788936
C(C(CO)O)O,-344.719856
CC1(CC1)C#C,-233.284774
CC1(CC1)C#N,-249.393152
CC1(CN1)C#C,-249.322437
CC1(CN1)C#N,-265.429201
CC1(CO1)C#C,-269.205558
CC1(CO1)C#N,-285.310299
C1CC1(C#N)N,-265.437265
C#CC1(CC1)O,-269.205661
C1CC1(C#N)O,-285.311886
CC1(CC1)C=O,-270.468877
CC1(CN1)C=O,-286.507087
CC1(CO1)C=O,-306.388334
C1CC1(C=O)O,-306.393465
CC1(CC1)CO,-271.648484
CC1(CO)CN1,-287.693286
CC1(CO)CO1,-307.575814
CCC1(CC1)C,-235.727158
CCC1(C)CO1,-271.653614
CCC1(CC1)O,-271.652038
CC1(CC1)OC,-271.641692
C1CC1(CO)O,-307.574152
CC1CCC1=O,-270.477179
CC1CNC1=O,-286.54679
CC1COC1=N,-286.522434
CC1COC1=O,-306.427029
CC1NCC1=O,-286.514513
CC1OCC1=O,-306.394728
CN1CCC1=O,-286.544706
NC1COC1=N,-302.564883
NC1COC1=O,-322.468624
OC1CCC1=O,-306.398118
OC1CNC1=O,-322.46623
OC1COC1=N,-322.44232
OC1COC1=O,-342.344721
CC1CCC1C,-235.726894
CC1CCC1O,-271.652386
CC1COC1C,-271.651656
CC1OCC1O,-307.575262
OC1CCC1O,-307.579988
N=C1CN=CN1,-281.520391
C1C=CCC1=O,-269.292553
C1C=CNC1=O,-285.364182
C1C(=O)NC=N1,-301.424079
C1C(=O)OC=N1,-321.299312
N=C1OCC=C1,-285.339869
C1CC(=O)C=C1,-269.299973
C1C=CC(=O)N1,-285.36533
N=C1CCCO1,-286.544899
N=C1COCO1,-322.462711
N=C1OCCO1,-322.472719
C1CCC(=O)C1,-270.501576
C1CC(=O)NC1,-286.571234
C1CC(=O)OC1,-306.447148
C1COCC1=O,-306.415468
C1C(=O)OCO1,-342.36377
C1CNC(=O)N1,-302.627663
C1COC(=O)N1,-322.505169
C1COC(=O)O1,-342.380838
CC1=CCCC1,-234.551976
CC1=CCOC1,-270.468829
CC1=NCCO1,-286.546498
CC1CC=CC1,-234.545523
CC1CN=CO1,-286.539796
OC1CC=CC1,-270.470141
CC1CCC=C1,-234.545692
CC1COC=N1,-286.53756
CC1OCC=C1,-270.466917
OC1CCC=C1,-270.470414
CC1CCCC1,-235.754746
CC1CCCO1,-271.67776
CC1CCOC1,-271.673114
CC1COCO1,-307.599195
CC1OCCO1,-307.603679
C1CCC(C1)O,-271.678618
OC1CCOC1,-307.595858
CC1C(C)C1C,-235.725092
CC1C(C)C1O,-271.649185
CC1C(C)N1C,-251.758017
CC1C(O)C1O,-307.570981
OC1C(O)C1O,-343.497233
CC12CC1CC2,-234.50378
CC12CC1CO2,-270.421106
CC12CC1OC2,-270.416941
CC12CCC1O2,-270.430118
OC12CC1CC2,-270.426196
OC12CC1OC2,-306.337396
C#CC#CC#C,-229.639949
C#CC#CC#N,-245.733762
C(#CC#N)C#N,-261.828854
C#CCCC#C,-232.06066
C#CCCC#N,-248.167922
C(CC#N)C#N,-264.27298
C#CC#CC=O,-266.806816
C(=O)C#CC#N,-282.900943
C(=O)C#CC=O,-303.970909
N=COCC#C,-285.272892
N=COCC#N,-301.376371
C#CCCC=O,-269.238076
C(CC#N)C=O,-285.344659
C#CCNC=O,-285.307545
C(C#N)NC=O,-301.412562
C#CCOC=O,-305.175765
C(C#N)OC=O,-321.277891
N=COCC=O,-322.453432
C(CC=O)C=O,-306.416352
C(C=O)NC=O,-322.487435
C(C=O)OC=O,-342.355599
CC#CC#CC,-232.096384
CC#CCC#C,-232.069081
CC#CCC#N,-248.176127
CC#CCC=O,-269.252047
CN=CNC=O,-302.597876
CN=COC=O,-322.473001
CCC#CC#C,-232.080639
CCC#CC#N,-248.18147
C#CC#CCO,-267.993506
C(C#CC#N)O,-284.092997
CCC#CC=O,-269.248873
C(C#CC=O)O,-305.161238
CCC#CCC,-234.518462
CCC#CCO,-270.432574
C(C#CCO)O,-306.345991
CCN=COC,-287.715221
CC#CCCO,-270.439567
CCCC#CC,-234.519304
CC#CCOC,-270.426097
CCOC=NC,-287.721527
CCCCC#C,-234.506066
CCCCC#N,-250.614891
CCNCC#N,-266.64743
CCOCC#C,-270.417487
CCOCC#N,-286.52342
COCCC#C,-270.418719
COCCC#N,-286.526586
C#CCCCO,-270.425267
C(CC#N)CO,-286.533599
CCCCC=O,-271.684489
CCCNC=O,-287.756983
CCCOC=O,-307.62831
CCOCC=O,-307.599503
COCCC=O,-307.595647
C(CC=O)CO,-307.604035
C(CO)NC=O,-323.678439
OCCOC=N,-323.646631
C(COC=O)O,-343.54935
CCCCCC,-236.950436
CCCCCO,-272.870294
CCCCOC,-272.863117
CCCOCC,-272.868652
CCOCCO,-308.791113
COCCCO,-308.78212
COCCOC,-308.774251
C(CCO)CO,-308.79022
C#CC1CCC1,-233.283102
C#CC1CCO1,-269.200269
C#CC1COC1,-269.199558
C1CC(C1)C#N,-249.391553
N#CC1CCN1,-265.427692
N#CC1CCO1,-285.30544
C1C(CO1)C#N,-285.305789
C1CC(C1)C=O,-270.46122
O=CC1CCO1,-306.37988
C1C(CO1)C=O,-306.377564
C1CN(C1)C=O,-286.529456
CN=C1CCO1,-286.514266
CCC1CCC1,-235.726646
CCC1CCO1,-271.650802
CCC1COC1,-271.645328
COC1CCC1,-271.642958
COC1COC1,-307.558945
C1CC(C1)CO,-271.646705
OCC1CCO1,-307.572115
C1C(CO1)CO,-307.565064
C#CCC1CC1,-233.279588
C#CCC1CO1,-269.200589
C#CCN1CC1,-249.310679
C1CC1CC#N,-249.388285
N#CCC1CN1,-265.425905
N#CCC1CO1,-285.307635
C1CN1CC#N,-265.416377
N=COC1CC1,-286.497552
C1CC1CC=O,-270.45852
O=CCC1CN1,-286.497584
O=CCC1CO1,-306.379643
C1CN1CC=O,-286.49031
C1CC1NC=O,-286.528974
C1CC1OC=O,-306.400339
CC#CC1CC1,-233.294462
CC#CC1CN1,-249.334039
CC#CC1CO1,-269.212626
CCCC1CC1,-235.724945
CCCC1CO1,-271.64766
CCCN1CC1,-251.758499
CCOC1CC1,-271.641993
COCC1CC1,-271.637363
COCC1CN1,-287.676543
COCC1CO1,-307.557716
C1CC1CCO,-271.644826
OCCC1CO1,-307.567353
C1CN1CCO,-287.681656
CC1CC1C#C,-233.285091
CC1CC1C#N,-249.393472
CC1NC1C#C,-249.324064
CC1NC1C#N,-265.430631
CC1OC1C#C,-269.206571
CC1OC1C#N,-285.310917
CN1CC1C#C,-249.314555
CN1CC1C#N,-265.420818
OC1CC1C#C,-269.206904
OC1CC1C#N,-285.313705
CC1CC1C=O,-270.464394
CC1CN1C=O,-286.516357
CC1NC1C=O,-286.50452
CC1OC1C=O,-306.383531
CN1CC1C=O,-286.493035
OC1CC1C=O,-306.385395
CC1CC1CO,-271.644868
CC1NC1CO,-287.691203
CC1OC1CO,-307.573837
CCC1CC1C,-235.72575
CCC1CC1O,-271.647992
CCC1CN1C,-251.756782
CCC1OC1C,-271.653657
CCN1CC1C,-251.760315
CN1CC1CO,-287.674798
COC1CC1C,-271.639467
COC1CC1O,-307.559352
OCC1CC1O,-307.567447
CC(=O)C1CC1,-270.476956
CC(=O)C1CN1,-286.51658
CC(=O)C1CO1,-306.391783
CC(=O)N1CC1,-286.52312
C1CC1C(=O)N,-286.547621
NC(=O)C1CN1,-302.587728
NC(=O)C1CO1,-322.464827
C1CN1C(=O)N,-302.588453
CC(C)C1CC1,-235.725942
CC(C)C1CO1,-271.646826
CC(C)N1CC1,-251.761786
CC(O)C1CC1,-271.650485
CC(O)C1CN1,-287.691623
CC(O)C1CO1,-307.57526
C1CC2(C1)CC2,-234.50179
C1CC12CCO2,-270.423475
C1CC12COC2,-270.418893
C1C2(N1)COC2,-286.460065
C1CC2(C1)CO2,-270.428396
C1C2(CO1)CO2,-306.342736
C1C2CC1C=C2,-233.287494
C1C2OC1C=C2,-269.20288
C1C2CC1CC2,-234.518869
C1C2CC1OC2,-270.434586
C1C2CCC1O2,-270.438825
CC1C2CC1C2,-234.476188
CC1C2CC1O2,-270.387995
OC1C2CC1C2,-270.403214
OC1C2CC1O2,-306.314443
C1COCC=C1,-270.46427
C1CCC=CC1,-234.549276
C1CN=COC1,-286.532964
C1CCCCC1,-235.758349
C1CCOCC1,-271.67485
C1COCCO1,-307.589116
C1COCOC1,-307.597128
C1CC2CCC12,-234.500807
C1CC2OCC12,-270.422285
C1OC2COC12,-306.341231
CC1C2CCC12,-234.498209
CC1C2COC12,-270.413623
OC1C2CCC12,-270.422979
OC1C2COC12,-306.33666
C1C2CC=CC12,-233.321386
C1C2OC=NC12,-285.307405
C1C=CC2NC12,-249.359675
C1C=CC2OC12,-269.243333
C1C2CCCC12,-234.531247
C1C2CCOC12,-270.445903
C1C2COCC12,-270.450398
C1C2OCOC12,-306.362777
C1CC2OC2C1,-270.458919
C1OCC2NC12,-286.48866
C1OCC2OC12,-306.372064
N=C1OC2CC12,-285.283461
O=C1CC2CC12,-269.249768
O=C1CC2CN12,-285.29523
O=C1CC2NC12,-285.282045
O=C1CC2OC12,-305.162619
O=C1CN2CC12,-285.28391
O=C1NC2CC12,-285.307131
O=C1OC2CC12,-305.187032
CC1CC2CC12,-234.49964
CC1CC2OC12,-270.422993
CC1OC2CC12,-270.417957
OC1CC2CC12,-270.425102
OC1CC2NC12,-286.466745
OC1CC2OC12,-306.348781
OC1CN2CC12,-286.461069
C1C2C3CC2C13,-233.244779
C1C2C3CN2C13,-249.275913
C1C2C3OC2C13,-269.156785
N1C2C3NC2C13,-265.310999
N1C2C3OC2C13,-285.187831
O1C2C3OC2C13,-305.063763
C1CC1C2CC2,-234.499031
C1CC1C1CO1,-270.422223
C1CC1N2CC2,-250.5293
C1NC1C1CN1,-266.582241
C1NC1C1CO1,-286.461426
C1OC1C1CO1,-306.34263
C1C2C1C1CC21,-233.2467
C1C2C1C1NC21,-249.286862
C1C2C1C1OC21,-269.172057
C1C2C1N1CC21,-249.285119
N1C2C1C1NC21,-265.316426
N1C2C1C1OC21,-285.20136
O1C2C1C1OC21,-305.084646
C1C2C3C1CN23,-249.307696
C1C2C3CC1C23,-233.269547
C1C2C3CC1N23,-249.319353
C1C2C3CN1C23,-249.29668
C1C2C3OC1C23,-269.182103
C12C3C1C1C2C31,-232.002516
C12C3C1N1C2C31,-248.045371
c1ccnnc1,-264.254291
c1cnnnc1,-280.275768
c1nncnn1,-296.312924
c1ncnnn1,-296.323929
c1cnnnn1,-296.293176
Cc1ccn[nH]1,-265.469825
Cc1ccno1,-285.322634
Cc1cnn[nH]1,-281.50559
Cc1cnno1,-301.364219
Cc1c[nH]nc1,-265.467001
Cc1c[nH]nn1,-281.506126
Cc1cnoc1,-285.317103
Cc1conn1,-301.361273
Cc1[nH]ncn1,-281.534576
Cc1ncno1,-301.388116
Cc1cc[nH]n1,-265.469779
Cc1nc[nH]n1,-281.533357
Cc1cn[nH]n1,-281.511891
Cc1n[nH]nn1,-297.55255
Cc1ccon1,-285.320703
Cc1ncon1,-301.385939
Cc1cnon1,-301.344913
Cc1nnon1,-317.389628
Cn1cccn1,-265.462467
Cn1ccnn1,-281.498675
Cn1cncn1,-281.523946
Cn1cnnc1,-281.512576
Cn1cnnn1,-297.5407
Cn1nccn1,-281.506215
Cn1ncnn1,-297.545036
Cn1nnnn1,-313.567192
N=C1NC=NO1,-317.424066
N=C1NN=NN1,-313.582997
N=C1OC=NO1,-337.292965
N=C1ON=NO1,-353.297148
c1cn[nH]c1N,-281.513921
c1cnoc1N,-301.371585
c1c([nH]nn1)N,-297.549226
c1c(onn1)N,-317.414547
c1c(cn[nH]1)N,-281.509007
c1c(nn[nH]1)N,-297.55163
c1c(con1)N,-301.358946
c1c(nno1)N,-317.405485
c1nc([nH]n1)N,-297.582689
c1nc(on1)N,-317.441698
c1c[nH]nc1N,-281.517285
c1[nH]nc(n1)N,-297.583688
c1c(n[nH]n1)N,-297.558364
c1(n[nH]nn1)N,-313.6017
c1conc1N,-301.36923
c1nc(no1)N,-317.437319
c1c(non1)N,-317.392436
c1(nnon1)N,-333.439115
c1[nH]c(=O)[nH]n1,-317.475538
c1[nH]c(=O)on1,-337.330027
c1(=O)[nH]nn[nH]1,-333.491833
c1(=O)[nH]nno1,-353.348826
c1noc(=O)o1,-357.199275
c1(=O)onno1,-373.201448
c1cn[nH]c1O,-301.391634
c1c(cn[nH]1)O,-301.385553
c1c(nn[nH]1)O,-317.43057
c1nc([nH]n1)O,-317.462134
c1c[nH]nc1O,-301.397117
c1[nH]nc(n1)O,-317.460725
c1c(n[nH]n1)O,-317.436318
c1(n[nH]nn1)O,-333.476952
c1conc1O,-321.247368
c1nc(no1)O,-337.311504
c1(nnon1)O,-353.311065
CC#CC(=NO)C,-324.554872
CC(=NO)CC#C,-324.539
CC(=NO)CC#N,-340.646583
CC(=NO)CC=O,-361.718785
CC(=NO)CCO,-362.905081
CCCC(=NO)C,-326.984994
CC(=NO)COC,-362.8963
CC(=NO)C(=NO)C,-417.023066
CC(=NO)C(=O)N,-377.805944
CC(C)C(=NO)C,-326.984134
CC(O)C(C)=NO,-362.908204
CC1CC(C1)=NO,-325.761646
CN1CC(=NO)C1,-341.790591
ON=C1CC(O)C1,-361.684535
C#CC(=NO)C#C,-322.088638
CCC(=NO)C#C,-324.537589
C#CC(=NO)CO,-360.453809
CCC(=NO)CC,-326.982785
CCC(=NO)CO,-362.905493
CC1CCC1=NO,-325.76154
CC1NCC1=NO,-341.798909
CC1OCC1=NO,-361.679561
ON=C1CCC1O,-361.684083
C1C=CCC1=NO,-324.580435
C1CC(=NO)C=C1,-324.585842
C1C(=NO)C=CN1,-340.631769
C1CCC(=NO)C1,-325.789148
C1COCC1=NO,-361.703919
CC(=NO)C1CC1,-325.760836
CC(=NO)C1CN1,-341.802021
CC(=NO)C1CO1,-361.681597
ON=C1CC2CC12,-324.532357
ON=C1CC2NC12,-340.56622
ON=C1CC2OC12,-360.448358
ON=C1CN2CC12,-340.567299
C#CC(F)(F)F,-414.38067
C(#N)C(F)(F)F,-430.476876
C(=O)C(F)(F)F,-451.558621
C(C(F)(F)F)N,-432.882725
C(C(F)(F)F)O,-452.758105
CCC(F)(F)F,-416.84483
Cc1cc([nH]c1)C,-288.722372
Cc1cc(oc1)C,-308.592994
Cc1cc(c[nH]1)N,-304.765329
Cc1cc(co1)N,-324.636154
Cc1cc(c[nH]1)O,-324.643156
Cc1cc(co1)O,-344.51269
Cc1cc([nH]c1)N,-304.766384
Cc1cc([nH]c1)O,-324.644825
Cc1c[nH]c(n1)O,-340.716208
Cc1cc(oc1)N,-324.638872
Cc1coc(n1)N,-340.708998
Cc1coc(n1)O,-360.583218
Cc1c[nH]c(n1)C,-304.787046
Cc1coc(n1)C,-324.658563
Cc1nc(co1)N,-340.705321
Cc1[nH]cc(n1)O,-340.714865
Cc1nc(co1)O,-360.584384
c1c(c[nH]c1N)N,-320.80942
c1c(coc1N)N,-340.682369
c1c(c[nH]c1N)O,-340.687437
c1c(coc1N)O,-360.559077
c1c(c[nH]c1O)N,-340.687921
c1c(nc([nH]1)O)N,-356.762581
c1c(nc(o1)O)N,-376.63045
c1c(nc(o1)N)N,-356.75582
c1c(nc([nH]1)N)O,-356.761938
c1c(nc(o1)N)O,-376.635072
c1c(c[nH]c1O)O,-360.565607
c1c(nc([nH]1)O)O,-376.642645
Cc1ccc([nH]1)C,-288.724105
Cc1ccc(o1)C,-308.596797
